model,train_ratio,reduction_train,reduction_test,f_score
GaussianNB,0.75,0.99,0.75,0.37468354430379747
GaussianNB,0.75,0.99,0.99,0.02631578947368421
GaussianNB,0.75,0.99,0.999,0.0018050541516245486
GaussianNB,0.75,0.999,0.0,0.4528853177501826
GaussianNB,0.75,0.999,0.25,0.39622236531444516
GaussianNB,0.75,0.999,0.5,0.31625487646293887
GaussianNB,0.75,0.999,0.75,0.19459102902374673
GaussianNB,0.75,0.999,0.99,0.012329370321444297
GaussianNB,0.75,0.999,0.999,0.0008928571428571428
GaussianNB,0.9,0.0,0.0,0.6090071647901739
GaussianNB,0.9,0.0,0.25,0.5643564356435643
GaussianNB,0.9,0.0,0.5,0.4758128469468676
GaussianNB,0.9,0.0,0.75,0.3326039387308534
GaussianNB,0.9,0.0,0.99,0.017391304347826087
GaussianNB,0.9,0.0,0.999,0.0
GaussianNB,0.9,0.25,0.0,0.5965820818228897
GaussianNB,0.9,0.25,0.25,0.5693069306930694
GaussianNB,0.9,0.25,0.5,0.47246608140462887
GaussianNB,0.9,0.25,0.75,0.3303964757709251
GaussianNB,0.9,0.25,0.99,0.014035087719298248
GaussianNB,0.9,0.25,0.999,0.0
GaussianNB,0.9,0.5,0.0,0.6108273748723188
GaussianNB,0.9,0.5,0.25,0.5675508945095621
GaussianNB,0.9,0.5,0.5,0.47905138339920955
GaussianNB,0.9,0.5,0.75,0.33224043715846996
GaussianNB,0.9,0.5,0.99,0.006980802792321116
GaussianNB,0.9,0.5,0.999,0.0
GaussianNB,0.9,0.75,0.0,0.6122239342578325
GaussianNB,0.9,0.75,0.25,0.5527638190954774
GaussianNB,0.9,0.75,0.5,0.47397918334667744
GaussianNB,0.9,0.75,0.75,0.3188405797101449
GaussianNB,0.9,0.75,0.99,0.021126760563380278
GaussianNB,0.9,0.75,0.999,0.0
GaussianNB,0.9,0.99,0.0,0.6289978678038379
GaussianNB,0.9,0.99,0.25,0.58371335504886
GaussianNB,0.9,0.99,0.5,0.48464163822525597
GaussianNB,0.9,0.99,0.75,0.37115839243498816
GaussianNB,0.9,0.99,0.99,0.019920318725099605
GaussianNB,0.9,0.99,0.999,0.0
GaussianNB,0.9,0.999,0.0,0.593065693430657
GaussianNB,0.9,0.999,0.25,0.5386289445048966
GaussianNB,0.9,0.999,0.5,0.44247787610619466
GaussianNB,0.9,0.999,0.75,0.3094812164579607
GaussianNB,0.9,0.999,0.99,0.01842105263157895
