model,train_ratio,reduction_test,f_score
random_anomaly_perc,0.5,0.99,0.0024595991614534923
random_anomaly_perc,0.5,0.999,0.0
random_anomaly_perc,0.75,0.0,0.09067035640903155
random_anomaly_perc,0.75,0.25,0.09232978202303616
random_anomaly_perc,0.75,0.5,0.05870458628098849
random_anomaly_perc,0.75,0.75,0.04326167215624815
random_anomaly_perc,0.75,0.9,0.01391230901422634
random_anomaly_perc,0.75,0.99,0.0017170228445099489
random_anomaly_perc,0.75,0.999,0.0
random_anomaly_perc,0.9,0.0,0.08888633867499898
random_anomaly_perc,0.9,0.25,0.08658667662531835
random_anomaly_perc,0.9,0.5,0.0630997226911286
random_anomaly_perc,0.9,0.75,0.03669649705278992
random_anomaly_perc,0.9,0.9,0.011622203083645661
random_anomaly_perc,0.9,0.99,0.0027027027027027024
random_anomaly_perc,0.9,0.999,0.0
random_half_half,0.5,0.0,0.16589743231513815
random_half_half,0.5,0.25,0.13572667228667074
random_half_half,0.5,0.5,0.09606280968463662
random_half_half,0.5,0.75,0.048848041007804224
random_half_half,0.5,0.9,0.01920808151414525
random_half_half,0.5,0.99,0.0021984957425624473
random_half_half,0.5,0.999,0.0
random_half_half,0.75,0.0,0.16808174915862867
random_half_half,0.75,0.25,0.13032335148800273
random_half_half,0.75,0.5,0.09397576546859801
random_half_half,0.75,0.75,0.051701253794744884
random_half_half,0.75,0.9,0.01967740794580181
random_half_half,0.75,0.99,0.0014093572162956604
random_half_half,0.75,0.999,0.0
random_half_half,0.9,0.0,0.1609719514893082
random_half_half,0.9,0.25,0.12632375975374094
random_half_half,0.9,0.5,0.1002710453651973
random_half_half,0.9,0.75,0.050375468098470974
random_half_half,0.9,0.9,0.022274861305784516
random_half_half,0.9,0.99,0.0009207459207459207
random_half_half,0.9,0.999,0.0
random_ones,0.5,0.0,0.18147430387804425
random_ones,0.5,0.25,0.1424743630403013
random_ones,0.5,0.5,0.09980383276655329
random_ones,0.5,0.75,0.052398786721654655
random_ones,0.5,0.9,0.021448361114038778
random_ones,0.5,0.99,0.00199700920223131
random_ones,0.5,0.999,0.0
random_ones,0.75,0.0,0.18012202806684488
random_ones,0.75,0.25,0.14124262290186027
random_ones,0.75,0.5,0.09882416966786715
random_ones,0.75,0.75,0.05180195143128844
random_ones,0.75,0.9,0.021221719286941384
random_ones,0.75,0.99,0.001863433731613181
random_ones,0.75,0.999,0.0
random_ones,0.9,0.0,0.17878394423848273
random_ones,0.9,0.25,0.13974878310515865
random_ones,0.9,0.5,0.09784784784784785
random_ones,0.9,0.75,0.05078393694213794
random_ones,0.9,0.9,0.020237977577945016
random_ones,0.9,0.99,0.0011190917325188138
random_ones,0.9,0.999,0.0
random_zeros,0.5,0.0,0.0
random_zeros,0.5,0.25,0.0
